geoNameId	name	featureCode	countryCode	adminCode1	adminCode2	timeZoneId	latitude	longitude	iata	icao	cityId	cityName	isActive
4620466	Edwards Airport	AIRP	US	TN	179	America/New_York	36.38205	-82.41181	null	null	4616489	Crouch Crossroad	1
4620641	Elizabethton Municipal Airport	AIRP	US	TN	019	America/New_York	36.36926	-82.17927	null	null	4620634	Elizabethton	1
4620698	Elkmont Helipad	AIRH	US	TN	009	America/New_York	35.67676	-83.71934	null	null	4605749	Bethel	1
4620726	Ellington Airport	AIRP	US	TN	117	America/Chicago	35.50039	-86.80826	null	KLUG	4636442	Lewisburg	1
4621255	Evans Airport	AIRP	US	TN	037	America/Chicago	36.29644	-86.94167	null	null	4666930	Westeria (historical)	1
4621323	Everett-Stewart Regional Airport	AIRP	US	TN	131	America/Chicago	36.38259	-88.9829	null	null	4661072	Sunnyside	1
4621909	Fayette County Airport	AIRP	US	TN	047	America/Chicago	35.20725	-89.39322	null	KFYE	4658802	Somerville	1
4621922	Fayetteville Municipal Airport	AIRP	US	TN	103	America/Chicago	35.05836	-86.56608	null	KFYM	4621915	Fayetteville	1
4621999	Fergusons Flying Circus Airport	AIRP	US	TN	105	America/New_York	35.71375	-84.41243	null	null	4649014	Philadelphia	1
4622907	Flying I Ranch Airport	AIRP	US	TN	097	America/Chicago	35.76156	-89.55145	null	null	4653228	Ripley	1
4622908	Flying W Ranch Airport	AIRP	US	TN	147	America/Chicago	36.45005	-87.00556	null	null	4655913	Sandy Springs	1
4623063	Forest Strip Airport	AIRP	US	TN	157	America/Chicago	35.37508	-89.99176	null	null	4666895	West Union	1
4623575	Franklin County Airport	AIRP	US	TN	051	America/Chicago	35.20531	-85.89969	UOS	KUOS	4656589	Sewanee	1
4623610	Franklin Wilkins Airport	AIRP	US	TN	077	America/Chicago	35.65424	-88.3806	null	null	4636463	Lexington	1
4624167	Sumner County Regional Airport	AIRP	US	TN	165	America/Chicago	36.37716	-86.41066	null	null	4663352	Trousdale	1
4624501	General Dewitt Spain Airport	AIRP	US	TN	157	America/Chicago	35.20176	-90.05231	null	null	4641239	Memphis	1
4624667	Gibson County Airport	AIRP	US	TN	053	America/Chicago	35.93523	-88.85026	null	KTGC	4663205	Trenton	1
4624858	Ginny 'B' Airport	AIRP	US	TN	037	America/Chicago	36.09311	-86.65472	null	null	4663906	Una	1
4625217	Gooch Reelfoot Airport	AIRP	US	TN	095	America/Chicago	36.37479	-89.44146	null	null	4635149	Lake Drive	1
4626341	Greeneville-Greene County Municipal Airport	AIRP	US	TN	059	America/New_York	36.19337	-82.81153	GCY	KGCY	4608109	Bradburn Hill	1
