pk^2char_code^name^website
air-fiji-airways-v1^FJ^Fiji Airways^
air-finnair-v1^AY^Finnair^http://www.finnair.com
air-first-air-v1^7F^First Air^
air-flair-airlines-v1^F8^Flair Airlines^https://flairair.ca/
air-flexflight-v1^W2^Flexflight^
air-fly540-tanzania-v1^FN^Fastjet^http://www.fastjet.com/
air-fly540-v1^5H^Five Fourty Aviation^http://www.fly540.com/
air-flyafrica-zimbabwe-v1^Z7^Zimbabwe flyafrica.com^http://flyafrica.com
air-fly-all-ways-airlines-v1^8W^Fly All Ways Airlines^http://www.flyallways.com
air-fly-art-v1^T2^Fly Art^
air-flybaghdad-v1^IF^FlyBaghdad^http://www.flybaghdad.net/
air-flybe-v1^BE^Flybe^
air-fly-blue-crane-v1^7B^Fly Blue Crane^
air-fly-caminter-v1^EF^Fly CamInter^
air-fly-corporate-v1^FC^Fly Corporate^
air-flydamas-v1^4J^Flydamas Airlines^
air-flydubai-v1^FZ^flydubai^http://www.flydubai.com
air-flyegypt-v1^FT^FlyEgypt^http://www.flyegypt.com
air-flyfirefly-v1^FY^Flyfirefly^http://www.fireflyz.com.my
air-fly-jamaica-airways-v1^OJ^Fly Jamaica Airways^http://www.fly-jamaica.com/
air-fly-kiss-v1^KT^Fly Kiss^
air-fly-one-moldova-v1^5F^Fly One^
air-fly-salone-v1^5L^Fly Salone^https://web.archive.org/web/20160220081102/https://fly-salone.com/
