3char_code^2char_code^name^website
AAM^^Air America^
UCA^C5^CommutAir^http://www.commutair.com/
ABQ^PA^airblue^http://www.airblue.com
MYW^8I^MyAir^http://www.myair.com
BMI^WW^Bmibaby^http://www.bmibaby.com/
CFG^DE^Condor Flugdienst^https://www.condor.com
AEF^YP^Aero Lloyd^http://web.archive.org/web/*/http://www.aerolloyd.de
AAB^W9^Abelag Aviation^http://www.abelag.com
^^Aberdeen Airways^
AWU^7E^Sylt Air^http://www.syltair.eu/englishversion/home_eng.html
^^Deutsche Luft-Reederei^
^^Bin Air^http://www.binair.eu/en_home.php
DHX^ES^DHL International Aviation ME^
QGA^^Windrose Air^
EXT^^Nightexpress^http://www.nightexpress.de/index.php?id=willkommen&L=1
WDL^WH^WDL Aviation^https://wdl-aviation.de
^^FLN Frisia Luftverkehr^http://www.fln-norddeich.de/index.php?id=440
AEA^UX^Air Europa^http://www.aireuropa.com
AHY^J2^Azerbaijan Airlines^http://azal.az/en
VEL^VZ^Velvet Sky^http://www.flyvelvetsky.com/
AXU^^Abu Dhabi Aviation^
THT^TN^Air Tahiti Nui^http://www.airtahitinui.com/
BHP^4T^Belair^http://www.airberlin.com/
^^Ad Astra Aero^
ADE^ZY^Ada Air^http://www.adaair.com/
IAD^6P^Fly Wex^
AXL^XT^Air Exel^
KHV^K6^Cambodia Angkor Air^http://www.cambodiaangkorair.com
ENY^MQ^Envoy Air^https://www.envoyair.com/
^^Asian Airlines^
VGX^^Virgin Galactic^http://www.virgingalactic.com
MSR^MS^EgyptAir^https://www.egyptair.com/
THA^QE^Air Moorea^http://www.airmoorea.pf
CJT^W8^Cargojet^http://www.cargojet.com
GIE^E4^Elysian Airlines^http://www.elysianairlines.com/
TLB^L5^Atlas Atlantique Airlines^
^^Deruluft^
AEE^A3^Aegean Airlines^http://www.aegeanair.com
REA^RE^Aer Arann^http://www.aerarann.com
BQI^^Aermediterranea^
RSR^BF^Aéro-Service^http://www.aero-service.net
RES^^AeroRescue^http://www.aerorescue.com.au
KRE^6N^Aerosucre^
RFC^^Aero Africa^
RSO^E4^Aero Asia International^http://www.aeroasia.com
EAY^EE^Aero Airlines^http://www.aeroairlines.com/
SER^JR^Aero California^
NIG^AJ^Aero Contractors^http://www.flyaero.com/
CDP^Q6^Aero Cóndor^http://www.aerocondor.com.pe
ARF^GV^Aero Flight^
BES^W4^Aero Services Executive^http://www.aeroservices-executive.com/
MNG^M0^Aero Mongolia^http://www.aeromongolia.mn
ATI^BM^Aero Trasporti Italiani^
CDA^^Aerocardal^http://www.aerocardal.cl/
CRN^7L^Aero Caribbean^http://www.fly-aerocaribbean.com/
ARD^2B^Aerocondor^http://www.aerocondor.com/
RCF^SU^Aeroflot-Cargo^http://www.aeroflot.ru/cms/
GTV^KG^Aerogaviota^http://www.aerogaviota.com/
GCK^^Aerogem Aviation^http://www.aerogemaviation.com/
AEN^3S^Aeroland Airways^https://web.archive.org/web/20080602174050/http://www.aeroland.gr:80/
SLI^5D^Aeroméxico Connect^http://www.aeromexico.com/
BOX^3S^AeroLogic^http://www.aerologic.aero/
NSO^P4^Aerolíneas Sosa^http://www.aerolineasosahn.com/
AHW^HT^Aeromist-Kharkiv^
AMX^AM^Aeroméxico^http://www.aeromexico.com
^^Aeronaut^
APP^WL^Aeroperlas^http://www.aeroperlas.com/
^OT^Aeropelican Air Services^http://www.aeropelican.com.au/
PLI^PL^Aeroperú^http://aeroperu.com/
^^Aeroput^
UAR^^Aerostar Airlines^http://www.aerostar.com.ua/
RSU^5L^AeroSur^http://www.aerosur.com/en/
AEW^VV^Aerosvit Airlines^http://www.aerosvit.com
