ICAO;IATA;Airportname;Citycode;Cityname;Countrycode;Countryname;NUTS-3
LFPN;TNF;TOUSSUS-LE-NOBLE;TNF;TOUSSUS-LE-NOBLE;FR;FRANCE;FR103
LFHS;XBK;BOURG EN BRESSE OFF-LINE PT;XBK;BOURG EN BRESSE;FR;FRANCE;FR815
LFDM;XMR;MARMANDE OFF-LINE PT;XMR;MARMANDE;FR;FRANCE;FR614
LFLC;CFE;CLERMONT-FERRAND;CFE;CLERMONT-FERRAND;FR;FRANCE;FR724
LFKF;FSC;FIGARI;FSC;FIGARI;FR;FRANCE;FR831
LFOB;BVA;PARIS BEAUVAIS-TILLE AIRPORT;PAR;PARIS;FR;FRANCE;FR101
LFBU;ANG;ANGOULEME;ANG;ANGOULEME;FR;FRANCE;FR531
LFOI;XAB;ABBEVILLE OFF-LINE PT;XAB;ABBEVILLE;FR;FRANCE;FR223
LFRJ;LDV;LANDIVISIAU;LDV;LANDIVISIAU;FR;FRANCE;FR522
LFHU;AHZ;ALPE D'HUEZ;AHZ;ALPE D'HUEZ;FR;FRANCE;FR714
LFAY;QAM;AMIENS OFF-LINE POINT;QAM;AMIENS;FR;FRANCE;FR223
LFRD;DNR;DINARD;DNR;DINARD;FR;FRANCE;FR523
LFMO;XOG;ORANGE OFF-LINE PT;XOG;ORANGE;FR;FRANCE;FR826
KXME;XME;MAUBEUGE OFF-LINE PT;XME;MAUBEUGE;FR;FRANCE;FR301
LFBO;TLS;TOULOUSE BLAGNAC APT;TLS;TOULOUSE;FR;FRANCE;FR623
KBVE;BVE;BRIVE-LA-GAILLARDE;BVE;BRIVE-LA-GAILLARDE;FR;FRANCE;FR631
LFCA;XCX;CHATELLERAULT OFF-LINE PT;XCX;CHATELLERAULT;FR;FRANCE;FR223
LFRS;NTE;NANTES ATLANTIQUE AIRPORT;NTE;NANTES;FR;FRANCE;FR511
LFLY;LYN;LYON BRON APT;LYS;LYON;FR;FRANCE;FR716
KXMR;XMR;MARMANDE OFF-LINE PT;XMR;MARMANDE;FR;FRANCE;FR614
LFRU;MXN;MORLAIX;MXN;MORLAIX;FR;FRANCE;FR522
LFKB;BIA;BASTIA;BIA;BASTIA;FR;FRANCE;FR832
LFDB;XMW;MONTAUBAN OFF-LINE PT;XMW;MONTAUBAN;FR;FRANCE;FR628
LFLA;AUF;AUXERRE;AUF;AUXERRE;FR;FRANCE;FR264
LFQV;XCZ;CHARLEVILLE MEZIERES OFF-LINE PT;XCZ;CHARLEVILLE MEZIERES;FR;FRANCE;FR222
LFJL;ETZ;METZ/NANCY;ETZ;METZ/NANCY;FR;FRANCE;FR223
LFQG;NVS;NEVERS;NVS;NEVERS;FR;FRANCE;FR262
LFCC;ZAO;CAHORS;ZAO;CAHORS;FR;FRANCE;FR625
KXBP;XBP;LA BAULE LES PINS OFF-LINE PT;XBP;LA BAULE LES PINS;FR;FRANCE;FR433
LFHY;XMU;MOULIN SUR ALLIER OFF-LINE PT;XMU;MOULIN SUR ALLIER;FR;FRANCE;FR815
LFLW;AUR;AURILLAC;AUR;AURILLAC;FR;FRANCE;FR722
LFLN;SYT;ST YAN;SYT;ST YAN;FR;FRANCE;FR223
LFMK;CCF;CARCASSONNE;CCF;CARCASSONNE;FR;FRANCE;FR811
LFQQ;LIL;LILLE LESQUIN AIRPORT;LIL;LILLE;FR;FRANCE;FR301
LFBV;BVE;BRIVE-LA-GAILLARDE;BVE;BRIVE-LA-GAILLARDE;FR;FRANCE;FR631
LFPT;POX;PARIS CERGY PONTOISE AIRPORT;PAR;PARIS;FR;FRANCE;FR101
LFDI;XLR;LIBOURNE OFF-LINE PT;XLR;LIBOURNE;FR;FRANCE;FR612
LFBK;MCU;MONTLUCON;MCU;MONTLUCON;FR;FRANCE;FR263
LFBG;CNG;COGNAC;CNG;COGNAC;FR;FRANCE;FR531
LFSQ;BOR;BELFORT;BOR;BELFORT;FR;FRANCE;FR434
LFIO;XYT;TOULOUSE MONTAUDRAN APT;TLS;TOULOUSE;FR;FRANCE;FR623
LFBX;PGX;PERIGUEUX;PGX;PERIGUEUX;FR;FRANCE;FR232
LFMI;QIE;ISTRES OFF-LINE POINT;QIE;ISTRES;FR;FRANCE;FR824
LFLP;NCY;ANNECY;NCY;ANNECY;FR;FRANCE;FR718
LFBM;XMJ;MONT DE MARSAN OFF-LINE PT;XMJ;MONT DE MARSAN;FR;FRANCE;FR263
LFSD;DIJ;DIJON;DIJ;DIJON;FR;FRANCE;FR261
LFCH;XAC;ARCACHON OFF-LINE PT;XAC;ARCACHON;FR;FRANCE;FR612
LFRA;ANE;ANGERS MARCE AIRPORT;ANE;ANGERS;FR;FRANCE;FR512
LFMV;AVN;AVIGNON CAUMONT AIRPORT;AVN;AVIGNON;FR;FRANCE;FR826
LFOF;XAN;ALENCON OFF-LINE PT;XAN;ALENCON;FR;FRANCE;FR723
LFLS;GNB;LYON GRENOBLE SAINT GEOIRS APT;LYS;LYON;FR;FRANCE;FR716
LFLJ;CVF;COURCHEVEL;CVF;COURCHEVEL;FR;FRANCE;FR815
LFHP;LPY;LE PUY;LPY;LE PUY;FR;FRANCE;FR612
LFAD;XCP;COMPIEGNE OFF-LINE PT;XCP;COMPIEGNE;FR;FRANCE;FR222
LFMT;MPL;MONTPELLIER MEDITERRANEE APT;MPL;MONTPELLIER;FR;FRANCE;FR813
LFAF;XLN;LAON OFF-LINE PT;XLN;LAON;FR;FRANCE;FR221
LFDT;XTB;TARBES OFF-LINE PT;XTB;TARBES;FR;FRANCE;FR626
LFPC;CSF;CREIL;CSF;CREIL;FR;FRANCE;FR222
LFCY;RYN;ROYAN;RYN;ROYAN;FR;FRANCE;FR532
LFLL;LYS;LYON SAINT EXUPERY APT;LYS;LYON;FR;FRANCE;FR716
LFBE;EGC;BERGERAC;EGC;BERGERAC;FR;FRANCE;FR611
LFBI;PIS;POITIERS BIARD AIRPORT;PIS;POITIERS;FR;FRANCE;FR534
LFRN;RNS;RENNES ST JACQUES AIRPORT;RNS;RENNES;FR;FRANCE;FR523
LFBZ;BIQ;BIARRITZ;BIQ;BIARRITZ;FR;FRANCE;FR615
LFSW;XEP;EPERNAY OFF-LINE PT;XEP;EPERNAY;FR;FRANCE;FR223
KDNR;DNR;DINARD;DNR;DINARD;FR;FRANCE;FR523
LFNB;MEN;MENDE;MEN;MENDE;FR;FRANCE;FR814
LFOJ;ORE;ORLEANS;ORE;ORLEANS;FR;FRANCE;FR246
LFRG;DOL;DEAUVILLE;DOL;DEAUVILLE;FR;FRANCE;FR251
LFMA;QXB;AIX-EN-PROVENCE RAIL STATION;QXB;AIX-EN-PROVENCE;FR;FRANCE;FR824
LFOH;LEH;LE HAVRE;LEH;LE HAVRE;FR;FRANCE;FR232
LFBT;LDE;LOURDES/TARBES;LDE;LOURDES/TARBES;FR;FRANCE;FR815
LFRI;EDM;LA ROCHE SUR YON;EDM;LA ROCHE SUR YON;FR;FRANCE;FR223
LFLH;XCD;CHALON SUR SAONE OFF-LINE PT;XCD;CHALON SUR SAONE;FR;FRANCE;FR815
LFHV;XVF;VILLEFRANCHE SUR SAONE OFF-LINE PT;XVF;VILLEFRANCHE SUR SAONE;FR;FRANCE;FR264
LFMP;PGF;PERPIGNAN;PGF;PERPIGNAN;FR;FRANCE;FR815
KRYN;RYN;ROYAN;RYN;ROYAN;FR;FRANCE;FR532
LFAB;DPE;DIEPPE;DPE;DIEPPE;FR;FRANCE;FR232
LFBA;AGF;AGEN;AGF;AGEN;FR;FRANCE;FR614
LFTZ;LTT;ST TROPEZ;LTT;ST TROPEZ;FR;FRANCE;FR825
LFBN;NIT;NIORT;NIT;NIORT;FR;FRANCE;FR533
LFLB;CMF;CHAMBERY;CMF;CHAMBERY;FR;FRANCE;FR223
KGNB;GNB;LYON GRENOBLE SAINT GEOIRS APT;LYS;LYON;FR;FRANCE;FR716
LFLQ;XMK;MONTELIMAR OFF-LINE PT;XMK;MONTELIMAR;FR;FRANCE;FR263
LFPG;CDG;PARIS CHARLES DE GAULLE APT;PAR;PARIS;FR;FRANCE;FR101
LFDN;RCO;ROCHEFORT;RCO;ROCHEFORT;FR;FRANCE;FR717
LFRV;VNE;VANNES;VNE;VANNES;FR;FRANCE;FR524
LFMN;NCE;NICE;NCE;NICE;FR;FRANCE;FR823
LFRC;CER;CHERBOURG;CER;CHERBOURG;FR;FRANCE;FR815
LFRZ;SNR;ST NAZAIRE;SNR;ST NAZAIRE;FR;FRANCE;FR211
LFBP;PUF;PAU;PUF;PAU;FR;FRANCE;FR615
LFAK;XDK;DUNKERQUE OFF-LINE PT;XDK;DUNKERQUE;FR;FRANCE;FR301
LFLD;BOU;BOURGES;BOU;BOURGES;FR;FRANCE;FR241
LFKC;CLY;CALVI;CLY;CALVI;FR;FRANCE;FR832
KRNE;RNE;ROANNE;RNE;ROANNE;FR;FRANCE;FR715
LFML;MRS;MARSEILLE PROVENCE APT;MRS;MARSEILLE;FR;FRANCE;FR824
EGNX;EMA;NOTTINGHAM EAST MIDLANDS AIRPORT;NQT;NOTTINGHAM;GB;UNITED KINGDOM;UKK41
KJER;JER;JERSEY;JER;JERSEY;GB;UNITED KINGDOM;UKD42
EGQJ;GQJ;MACHRIHANISH;GQJ;MACHRIHANISH;GB;UNITED KINGDOM;UKM63
KSOY;SOY;STRONSAY;SOY;STRONSAY;GB;UNITED KINGDOM;UKM65
EGNV;MME;TEESSIDE;MME;TEESSIDE;GB;UNITED KINGDOM;UKC12
EGPH;EDI;EDINBURGH;EDI;EDINBURGH;GB;UNITED KINGDOM;UKM38
EGNC;CAX;CARLISLE;CAX;CARLISLE;GB;UNITED KINGDOM;UKD12
EGDG;NQY;NEWQUAY;NQY;NEWQUAY;GB;UNITED KINGDOM;UKK30
EGUA;UHF;UPPER HEYFORD;UHF;UPPER HEYFORD;GB;UNITED KINGDOM;UKF23
EGQB;BOL;BALLY KELLY;BOL;BALLY KELLY;GB;UNITED KINGDOM;UKN05
KCBG;CBG;CAMBRIDGE;CBG;CAMBRIDGE;GB;UNITED KINGDOM;UKD53
EGPN;DND;DUNDEE;DND;DUNDEE;GB;UNITED KINGDOM;UKM21
EGEN;NRL;NORTH RONALDSAY;NRL;NORTH RONALDSAY;GB;UNITED KINGDOM;UKN04
EGTK;OXF;OXFORD;OXF;OXFORD;GB;UNITED KINGDOM;UKJ33
EGSH;NWI;NORWICH;NWI;NORWICH;GB;UNITED KINGDOM;UKH13
KXVG;XVG;DARLINGTON RAIL STATION;XVG;DARLINGTON;GB;UNITED KINGDOM;UKC13
EGPA;KOI;KIRKWALL;KOI;KIRKWALL;GB;UNITED KINGDOM;UKM65
EGBN;NQT;NOTTINGHAM AIRPORT;NQT;NOTTINGHAM;GB;UNITED KINGDOM;UKK41
EGHL;QLA;LASHAM OFF-LINE PT;QLA;LASHAM;GB;UNITED KINGDOM;UKK41
EGXC;QCY;CONINGSBY OFF-LINE POINT;QCY;CONINGSBY;GB;UNITED KINGDOM;UKF30
EGLC;LCY;LONDON CITY APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGFE;HAW;HAVERFORDWEST;HAW;HAVERFORDWEST;GB;UNITED KINGDOM;UKN04
EGQS;LMO;LOSSIEMOUTH;LMO;LOSSIEMOUTH;GB;UNITED KINGDOM;UKM62
EGPL;BEB;BENBECULA;BEB;BENBECULA;GB;UNITED KINGDOM;UKM64
EGJA;ACI;ALDERNEY;ACI;ALDERNEY;GB;UNITED KINGDOM;UKK21
EGEP;PPW;PAPA WESTRAY;PPW;PAPA WESTRAY;GB;UNITED KINGDOM;UKN04
EGSY;SZD;SHEFFIELD;SZD;SHEFFIELD;GB;UNITED KINGDOM;UKE32
EGKB;BQH;LONDON BIGGIN HILL APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGHJ;BBP;BEMBRIDGE;BBP;BEMBRIDGE;GB;UNITED KINGDOM;UKJ42
EGVJ;BWY;WOODBRIDGE;BWY;WOODBRIDGE;GB;UNITED KINGDOM;UKJ42
KSWI;SWI;SWINDON;SWI;SWINDON;GB;UNITED KINGDOM;UKK13
EGMD;LYX;LYDD;LYX;LYDD;GB;UNITED KINGDOM;UKJ42
EGEC;CAL;CAMPBELTOWN;CAL;CAMPBELTOWN;GB;UNITED KINGDOM;UKM63
EGPB;LSI;SHETLAND ISLANDS SUMBURGH APT;SDZ;SHETLAND ISLANDS;GB;UNITED KINGDOM;UKN01
EGGD;BRS;BRISTOL;BRS;BRISTOL;GB;UNITED KINGDOM;UKK11
KXNO;XNO;NORTHALLERTON RAIL STATION;XNO;NORTHALLERTON;GB;UNITED KINGDOM;UKN04
EGBJ;GLO;GLOUCESTER;GLO;GLOUCESTER;GB;UNITED KINGDOM;UKK11
EGPU;TRE;TIREE;TRE;TIREE;GB;UNITED KINGDOM;UKM63
EGHH;BOH;BOURNEMOUTH;BOH;BOURNEMOUTH;GB;UNITED KINGDOM;UKH12
EGVO;ODH;ODIHAM;ODH;ODIHAM;GB;UNITED KINGDOM;UKJ33
EGUN;MHZ;MILDENHALL APT;MHZ;MILDENHALL;GB;UNITED KINGDOM;UKH14
EGET;LWK;SHETLAND ISLANDS LERWICK/TINGWALL APT;SDZ;SHETLAND ISLANDS;GB;UNITED KINGDOM;UKN01
EGHD;PLH;PLYMOUTH;PLH;PLYMOUTH;GB;UNITED KINGDOM;UKL22
EGLL;LHR;LONDON HEATHROW APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGSC;CBG;CAMBRIDGE;CBG;CAMBRIDGE;GB;UNITED KINGDOM;UKD53
EGAE;LDY;LONDONDERRY;LDY;LONDONDERRY;GB;UNITED KINGDOM;UKN04
EGPF;GLA;GLASGOW INTERNATIONAL AIRPORT;GLA;GLASGOW;GB;UNITED KINGDOM;UKM34
KNDY;NDY;SANDAY;NDY;SANDAY;GB;UNITED KINGDOM;UKM65
EGNT;NCL;NEWCASTLE;NCL;NEWCASTLE;GB;UNITED KINGDOM;UKL17
EGGP;LPL;LIVERPOOL;LPL;LIVERPOOL;GB;UNITED KINGDOM;UKD52
EGKK;LGW;LONDON GATWICK APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGJJ;JER;JERSEY;JER;JERSEY;GB;UNITED KINGDOM;UKD42
EGDY;YEO;YEOVILTON;YEO;YEOVILTON;GB;UNITED KINGDOM;UKK43
KPIK;PIK;GLASGOW PRESTWICK APT;GLA;GLASGOW;GB;UNITED KINGDOM;UKM34
EGAC;BHD;BELFAST CITY APT;BFS;BELFAST;GB;UNITED KINGDOM;UKN01
EGPD;ABZ;ABERDEEN;ABZ;ABERDEEN;GB;UNITED KINGDOM;UKM50
EGDL;LYE;LYNEHAM;LYE;LYNEHAM;GB;UNITED KINGDOM;UKK15
EGNR;CEG;CHESTER;CEG;CHESTER;GB;UNITED KINGDOM;UKN01
EGPW;UNT;UNST;UNT;UNST;GB;UNITED KINGDOM;UKM66
EPGM;SCS;SHETLAND ISLANDS SCATSTA APT;SDZ;SHETLAND ISLANDS;GB;UNITED KINGDOM;UKN01
EGQL;ADX;ST ANDREWS;ADX;ST ANDREWS;GB;UNITED KINGDOM;UKH33
EGWU;NHT;NORTHOLT;NHT;NORTHOLT;GB;UNITED KINGDOM;UKN04
EGNH;BLK;BLACKPOOL;BLK;BLACKPOOL;GB;UNITED KINGDOM;UKD42
EGAA;BFS;BELFAST INTERNATIONAL APT;BFS;BELFAST;GB;UNITED KINGDOM;UKN01
EGMC;SEN;SOUTHEND;SEN;SOUTHEND;GB;UNITED KINGDOM;UKN04
EGBB;BHX;BIRMINGHAM INTERNATIONAL AIRPORT;BHX;BIRMINGHAM;GB;UNITED KINGDOM;UKK41
KTSO;TSO;ISLES OF SCILLY TRESCO APT;ISC;ISLES OF SCILLY;GB;UNITED KINGDOM;
EGCC;MAN;MANCHESTER INTERNATIONAL APT;MAN;MANCHESTER;GB;UNITED KINGDOM;UKH12
PACL;CLF;COLTISHALL OFF-LINE PT;CLF;COLTISHALL;GB;UNITED KINGDOM;UKH13
EGPM;SCS;SHETLAND ISLANDS SCATSTA APT;SDZ;SHETLAND ISLANDS;GB;UNITED KINGDOM;UKN01
EGHK;PZE;PENZANCE;PZE;PENZANCE;GB;UNITED KINGDOM;UKK30
EGUB;BEX;BENSON;BEX;BENSON;GB;UNITED KINGDOM;UKJ14
EGPK;PIK;GLASGOW PRESTWICK APT;GLA;GLASGOW;GB;UNITED KINGDOM;UKM34
EGNS;IOM;ISLE OF MAN;IOM;ISLE OF MAN;GB;UNITED KINGDOM;n/a
KHRT;HRT;HARROGATE;HRT;HARROGATE;GB;UNITED KINGDOM;UKJ24
EGEO;OBN;OBAN CONNEL APT;OBN;OBAN;GB;UNITED KINGDOM;UKM63
EGKA;ESH;SHOREHAM BY SEA;ESH;SHOREHAM BY SEA;GB;UNITED KINGDOM;UKK41
EGHI;SOU;SOUTHAMPTON;SOU;SOUTHAMPTON;GB;UNITED KINGDOM;UKN04
EGCN;DSA;DONCASTER SHEFFIELD airport;DSA;DONCASTER;GB;UNITED KINGDOM;UKE31
EGNL;BWF;BARROW-IN-FURNESS;BWF;BARROW-IN-FURNESS;GB;UNITED KINGDOM;UKH14
EGFH;SWS;SWANSEA;SWS;SWANSEA;GB;UNITED KINGDOM;UKL18
EGKR;KRH;REDHILL OFF-LINE PT;KRH;REDHILL;GB;UNITED KINGDOM;UKC23
EGNJ;HUY;HUMBERSIDE;HUY;HUMBERSIDE;GB;UNITED KINGDOM;UKE11
EGTH;HTF;HATFIELD;HTF;HATFIELD;GB;UNITED KINGDOM;UKE31
KLSF;LSI;SHETLAND ISLANDS SUMBURGH APT;SDZ;SHETLAND ISLANDS;GB;UNITED KINGDOM;UKN01
EGSE;IPW;IPSWICH;IPW;IPSWICH;GB;UNITED KINGDOM;UKH14
EGDB;PLH;PLYMOUTH;PLH;PLYMOUTH;GB;UNITED KINGDOM;UKL22
EGUY;QUY;WYTON OFF-LINE PT;QUY;WYTON;GB;UNITED KINGDOM;UKH12
EGLF;FAB;FARNBOROUGH;FAB;FARNBOROUGH;GB;UNITED KINGDOM;UKI22
EGPO;SYY;STORNOWAY;SYY;STORNOWAY;GB;UNITED KINGDOM;UKK43
KXVW;XVW;WOLVERHAMPTON RAIL STATION;XVW;WOLVERHAMPTON;GB;UNITED KINGDOM;UKK41
EGYC;CLF;COLTISHALL OFF-LINE PT;CLF;COLTISHALL;GB;UNITED KINGDOM;UKH13
EGFF;CWL;CARDIFF;CWL;CARDIFF;GB;UNITED KINGDOM;UKK13
EGGW;LTN;LONDON LUTON APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGJB;GCI;GUERNSEY;GCI;GUERNSEY;GB;UNITED KINGDOM;n/a
KBBP;BBP;BEMBRIDGE;BBP;BEMBRIDGE;GB;UNITED KINGDOM;UKJ42
EGUH;HYC;HIGH WYCOMBE;HYC;HIGH WYCOMBE;GB;UNITED KINGDOM;UKJ13
EGPR;BRR;BARRA;BRR;BARRA;GB;UNITED KINGDOM;UKM64
EGPE;INV;INVERNESS;INV;INVERNESS;GB;UNITED KINGDOM;UKN05
KFOA;FOA;FOULA;FOA;FOULA;GB;UNITED KINGDOM;UKM66
EGSS;STN;LONDON STANSTED APT;LON;LONDON;GB;UNITED KINGDOM;UKL11
EGTE;EXT;EXETER;EXT;EXETER;GB;UNITED KINGDOM;UKK43
EGNM;LBA;LEEDS BRADFORD;LBA;LEEDS BRADFORD;GB;UNITED KINGDOM;UKJ42
EGHE;ISC;ISLES OF SCILLY ST MARY'S APT;ISC;ISLES OF SCILLY;GB;UNITED KINGDOM;UKK43
KSZD;SZD;SHEFFIELD;SZD;SHEFFIELD;GB;UNITED KINGDOM;UKE32
EGBK;ORM;NORTHAMPTON;ORM;NORTHAMPTON;GB;UNITED KINGDOM;UKN04
KBHX;BHX;BIRMINGHAM INTERNATIONAL AIRPORT;BHX;BIRMINGHAM;GB;UNITED KINGDOM;UKK41
EGED;EOI;EDAY;EOI;EDAY;GB;UNITED KINGDOM;UKM65
EGVN;BZZ;BRIZE NORTON;BZZ;BRIZE NORTON;GB;UNITED KINGDOM;UKJ14
EGSU;QFO;DUXFORD OFF-LINE POINT;QFO;DUXFORD;GB;UNITED KINGDOM;UKH12
EGPC;WIC;WICK;WIC;WICK;GB;UNITED KINGDOM;UKM61
EGLI;QIF;ISLEWORTH OFF-LINE POINT;QIF;ISLEWORTH;GB;UNITED KINGDOM;UKI23
EGTG;FZO;FILTON;FZO;FILTON;GB;UNITED KINGDOM;UKK12
EGHC;LEQ;LANDS END;LEQ;LANDS END;GB;UNITED KINGDOM;UKK30
GMSH;MSE;MANSTON;MSE;MANSTON;GB;UNITED KINGDOM;UKH14
EGVA;FFD;FAIRFORD;FFD;FAIRFORD;GB;UNITED KINGDOM;UKK13
EGLK;BBS;BLACKBUSHE;BBS;BLACKBUSHE;GB;UNITED KINGDOM;UKJ23
EGMH;MSE;MANSTON;MSE;MANSTON;GB;UNITED KINGDOM;UKH14
EGEF;FIE;FAIR ISLE;FIE;FAIR ISLE;GB;UNITED KINGDOM;n/a
EGQK;FSS;FORRES;FSS;FORRES;GB;UNITED KINGDOM;UKM62
EGPI;ILY;ISLAY;ILY;ISLAY;GB;UNITED KINGDOM;UKM63
EGWZ;AYH;ALCONBURY;AYH;ALCONBURY;GB;UNITED KINGDOM;UKJ24
EGUD;ABB;ABINGDON;ABB;ABINGDON;GB;UNITED KINGDOM;UKI11
EGCH;HLY;HOLYHEAD;HLY;HOLYHEAD;GB;UNITED KINGDOM;UKL11
EGPT;PSL;PERTH;PSL;PERTH;GB;UNITED KINGDOM;UKM27
EGHR;QUG;CHICHESTER/GOODWOOD OFF-LINE POINT;QUG;CHICHESTER/GOODWOOD;GB;UNITED KINGDOM;UKJ24
EGAB;ENK;ENNISKILLEN;ENK;ENNISKILLEN;GB;UNITED KINGDOM;UKN04
EGBE;CVT;COVENTRY;CVT;COVENTRY;GB;UNITED KINGDOM;UKG33
SOCA;CAY;CAYENNE;CAY;CAYENNE;GF;FRENCH GUIANA;FR930
TFFG;SFG;ST MARTIN ESPERANCE APT;SFG;ST MARTIN;GP;GUADELOUPE;FR910
TFFR;PTP;POINTE-A-PITRE;PTP;POINTE-A-PITRE;GP;GUADELOUPE;FR910
TFFJ;SBH;ST BARTHELEMY;SBH;ST BARTHELEMY;GP;GUADELOUPE;FR223
LGSR;JTR;THIRA;JTR;THIRA;GR;GREECE;GR422
