LAS;A;US;http://geonames.org/5507974 ;0.226975795268;McCarran International Airport;McCarran International Airport;en;Mc Carran International Airport=Las Vegas International Airport=Las Vegas Mc Carran International Airport
PTY;A;PA;http://geonames.org/3700562 ;0.226943760696;Tocumen International Airport;Tocumen International Airport;en;Tocumen International Airport
DMK;A;TH;http://geonames.org/1619461 ;0.219609633021;Don Mueang International Airport;Don Mueang International Airport;en;Don Mueang International Airport|p=Bangkok International Airport
YYC;A;CA;http://geonames.org/6296327 ;0.219575075746;Calgary International, Alta.;Calgary International, Alta.;en;
AEP;A;AR;http://geonames.org/6301847 ;0.218178477162;Jorge Newbery Airport;Jorge Newbery Airport;en;
MEL;A;AU;http://geonames.org/6290242 ;0.214856576945;Melbourne Airport;Melbourne Airport;en;Tullamarine Airport
DCA;A;US;http://geonames.org/4782828 ;0.214237092106;Ronald Reagan Washington National Airport;Ronald Reagan Washington National Airport;en;
SLC;A;US;http://geonames.org/5780999 ;0.211299035176;Salt Lake City International Airport;Salt Lake City International Airport;en;
LGA;A;US;http://geonames.org/5123698 ;0.208326134525;La Guardia Airport;La Guardia Airport;en;LaGuardia Airport|p=Glenn H. Curtiss Airport|h=North Beach Airport|h=New York Municipal Airport-LaGuardia Field|h
NRT;A;JP;http://geonames.org/6300307 ;0.207503111567;Narita International Airport;Narita International Airport;en;
BET;A;US;http://geonames.org/5880572 ;0.206206014939;Bethel Airport;Bethel Airport;en;
FLL;A;US;http://geonames.org/4155976 ;0.204063213046;Fort Lauderdale/Hollywood International Airport;Fort Lauderdale/Hollywood International Airport;en;Fort Lauderdale/Hollywood International Airport=Fort Lauderdale–Hollywood International Airport
PER;A;AU;http://geonames.org/2079187 ;0.195362252948;Perth Airport;Perth Airport;en;
ATH;A;GR;http://geonames.org/6299484 ;0.195092492717;Athens Eleftherios Venizelos International Airport;Athens Eleftherios Venizelos International Airport;en;
JED;A;SA;http://geonames.org/6300018 ;0.194488847532;Jeddah King Abdul Aziz International Airport;Jeddah King Abdul Aziz International Airport;en;
DUS;A;DE;http://geonames.org/3206096 ;0.193867089487;Düsseldorf International Airport;Duesseldorf International Airport;en;Düsseldorf International Airport|p=Düsseldorf Airport
AKL;A;NZ;http://geonames.org/6232134 ;0.192858994934;Auckland International Airport;Auckland International Airport;en;
TXL;A;DE;http://geonames.org/3208806 ;0.192275747199;Berlin Tegel Airport;Berlin Tegel Airport;en;Berlin Tegel Airport|p
CMN;A;MA;http://geonames.org/6297212 ;0.189485468352;Mohammed V International Airport;Mohammed V International Airport;en;Mohammed V International Airport|p
RUH;A;SA;http://geonames.org/400675 ;0.187620423786;King Khalid International;King Khalid International;en;
ZRH;A;CH;http://geonames.org/6299722 ;0.187479292388;Zurich Airport;Zurich Airport;en;Zurich airport
NBO;A;KE;http://geonames.org/6297307 ;0.185815849939;Jomo Kenyatta International Airport;Jomo Kenyatta International Airport;en;
CTU;A;CN;http://geonames.org/6301392 ;0.183780554778;Chengdu Shuangliu International Airport;Chengdu Shuangliu International Airport;en;Chengdu Shuangliu International Airport
ALG;A;DZ;http://geonames.org/6296363 ;0.182554760077;Algiers Houari Boumediene Airport;Algiers Houari Boumediene Airport;en;Algiers Houari Boumediene Airport=Algiers Airport|s=Houari Boumediene Airport|p
PDX;A;US;http://geonames.org/5746563 ;0.181927573982;Portland International Airport;Portland International Airport;en;
CAI;A;EG;http://geonames.org/6297293 ;0.181582620977;Cairo International Airport;Cairo International Airport;en;Cairo International Airport|p
LIS;A;PT;http://geonames.org/6301792 ;0.180217948957;Lisboa / Portela;Lisboa / Portela;en;
HNL;A;US;http://geonames.org/5856213 ;0.178783350111;Honolulu International Airport;Honolulu International Airport;en;
POM;A;PG;http://geonames.org/6295685 ;0.174376250739;Jacksons International Airport;Jacksons International Airport;en;Jacksons International Airport
BHX;A;GB;http://geonames.org/6296572 ;0.17354885982;Birmingham Airport;Birmingham Airport;en;Birmingham International Airport|h=Birmingham Airport|p
HIR;A;SB;http://geonames.org/6295679 ;0.172020834481;Honiara-Henderson International Airport;Honiara-Henderson International Airport;en;Honiara-Henderson International Airport=Honiara International Airport|p
KMG;A;CN;http://geonames.org/9036019 ;0.168471008141;Kunming Changshui International Airport;Kunming Changshui International Airport;en;Kunming Changshui International Airport
LED;A;RU;http://geonames.org/6300971 ;0.167882515116;Pulkovo Airport;Pulkovo Airport;en;
LTN;A;GB;http://geonames.org/6296589 ;0.167744744397;Luton Airport;Luton Airport;en;Luton Airport|p=London Luton Airport=Luton International Airport|h
MDW;A;US;http://geonames.org/4887472 ;0.167613919497;Chicago Midway International Airport;Chicago Midway International Airport;en;
BSB;A;BR;http://geonames.org/6300605 ;0.165869381952;Brasilia International Airport;Brasilia International Airport;en;Brasilia International Airport
SFJ;A;GL;http://geonames.org/6295704 ;0.164272287095;Sdr Stroemfjord;Sdr Stroemfjord;en;Kangerlussuaq Airport|p
MAN;A;GB;http://geonames.org/6296575 ;0.164189008173;Manchester Airport;Manchester Airport;en;Ringway Airport=Manchester Airport|p
