iata_code;location_type;country_code;geoname_link;name;asciiname;lang_code;name_list
BWN;C;BN;http://geonames.org/1820906 ;0.0280605294982;Bandar Seri Begawan;Bandar Seri Begawan;ar;بندر سري بكاوان
BZV;A;CG;http://geonames.org/6296955 ;0.0264876180233;Maya-Maya Airport;Maya-Maya Airport;ar;
BZV;C;CG;http://geonames.org/2260535 ;0.0264876180233;Brazzaville;Brazzaville;ar;برازافيل
CAG;A;IT;http://geonames.org/6301780 ;0.0295210951838;Cagliari Elmas Airport;Cagliari Elmas Airport;ar;
CAG;C;IT;http://geonames.org/2525473 ;0.0295210951838;Cagliari;Cagliari;ar;كالياري
CAI;A;EG;http://geonames.org/6297293 ;0.167605255078;Cairo International Airport;Cairo International Airport;ar;ميناء القاهرة الجوي
CAI;C;EG;http://geonames.org/360630 ;0.167605255078;Cairo;Cairo;ar;القاهرة
CAN;A;CN;http://geonames.org/6301359 ;0.356646719686;Guangzhou Baiyun International Airport;Guangzhou Baiyun International Airport;ar;مطار قوانغتشو باييون الدولي
CAN;C;CN;http://geonames.org/1809858 ;0.356646719686;Guangzhou;Guangzhou;ar;قوانتشو
CCJ;A;IN;http://geonames.org/7668634 ;0.020805540281;Calicut International Airport;Calicut International Airport;ar;
CCJ;C;IN;http://geonames.org/1265873 ;0.020805540281;Kozhikode;Kozhikode;ar;
CCU;A;IN;http://geonames.org/6301069 ;0.140863106315;Netaji Subhas Chandra Bose International Airport;Netaji Subhas Chandra Bose International Airport;ar;
CCU;C;IN;http://geonames.org/1275004 ;0.140863106315;Kolkata;Kolkata;ar;كلكتا
CDG;A;FR;http://geonames.org/6269554 ;0.782315181376;Paris Charles de Gaulle Airport;Paris Charles de Gaulle Airport;ar;مطار باريس شارل دو غول الدولي
CFE;A;FR;http://geonames.org/6299399 ;0.0125790145096;Clermont-Ferrand Auvergne Airport;Clermont-Ferrand Auvergne Airport;ar;
CFE;C;FR;http://geonames.org/3024635 ;0.0125790145096;Clermont-Ferrand;Clermont-Ferrand;ar;كليرمون فيران
CGK;A;ID;http://geonames.org/6301878 ;0.326008558559;Soekarno-Hatta International Airport;Soekarno-Hatta International Airport;ar;مطار_سوكارنو_هاتا_الدولي
CJB;A;IN;http://geonames.org/6301121 ;0.0204757175862;Coimbatore International Airport;Coimbatore International Airport;ar;
CJB;C;IN;http://geonames.org/1273865 ;0.0204757175862;Coimbatore;Coimbatore;ar;كويمباتور
CKY;A;GN;http://geonames.org/6297246 ;0.0158243516893;Conakry International Airport;Conakry International Airport;ar;
CKY;C;GN;http://geonames.org/2422465 ;0.0158243516893;Conakry;Conakry;ar;
CLY;A;FR;http://geonames.org/6299393 ;0.0105543822957;Calvi - Sainte-Catherine Airport;Calvi - Sainte-Catherine Airport;ar;
CLY;C;FR;http://geonames.org/3029090 ;0.0105543822957;Calvi;Calvi;ar;
CMB;A;LK;http://geonames.org/6301060 ;0.0830521687442;Bandaranayake International Air Port;Bandaranayake International Air Port;ar;
CMB;C;LK;http://geonames.org/1248991 ;0.0830521687442;Colombo;Colombo;ar;كولمبو
CMH;A;US;http://geonames.org/4521777 ;0.0506353279807;Port Columbus International Airport;Port Columbus International Airport;ar;
CMH;C;US;http://geonames.org/4509177 ;0.0506353279807;Columbus;Columbus;ar;كولومبوس، أوهايو
CMN;A;MA;http://geonames.org/6297212 ;0.178603019516;Mohammed V International Airport;Mohammed V International Airport;ar;
COK;A;IN;http://geonames.org/7626292 ;0.0518742023784;Cochin International Airport;Cochin International Airport;ar;
COK;C;IN;http://geonames.org/1273874 ;0.0518742023784;Cochin;Cochin;ar;
COO;A;BJ;http://geonames.org/6296398 ;0.0161434282902;Cotonou Airport;Cotonou Airport;ar;
COO;C;BJ;http://geonames.org/2394819 ;0.0161434282902;Cotonou;Cotonou;ar;كوتونو
CPH;A;DK;http://geonames.org/2619034 ;0.225118201285;Copenhagen Airport;Copenhagen Airport;ar;مطار كوبنهاغن
CPH;C;DK;http://geonames.org/2618425 ;0.225118201285;Copenhagen;Copenhagen;ar;كوبنهاغن
CPT;A;ZA;http://geonames.org/3368972 ;0.0904732271424;Cape Town International Airport;Cape Town International Airport;ar;
CPT;C;ZA;http://geonames.org/3369157 ;0.0904732271424;Cape Town;Cape Town;ar;كيب تاون
CTA;A;IT;http://geonames.org/6290291 ;0.0592343886511;Catania–Fontanarossa Airport;Catania-Fontanarossa Airport;ar;مطار كاتانيا-فونتاناروسا
CTA;C;IT;http://geonames.org/2525068 ;0.0592343886511;Catania;Catania;ar;كاتانيا
DAC;A;BD;http://geonames.org/6301871 ;0.067218296281;Kurmitola, Dia;Kurmitola, Dia;ar;
DAC;C;BD;http://geonames.org/1185241 ;0.067218296281;Dhaka;Dhaka;ar;دكا
DAM;A;SY;http://geonames.org/6300128 ;0.00601475276909;Damascus Int. Airport;Damascus Int. Airport;ar;
DAM;C;SY;http://geonames.org/170654 ;0.00601475276909;Damascus;Damascus;ar;دمشق
DED;CA;IN;http://geonames.org/7668603 ;0.00816104563638;Dehradun Airport;Dehradun Airport;ar;
DEL;A;IN;http://geonames.org/6301872 ;0.324453394964;Indira Gandhi International Airport;Indira Gandhi International Airport;ar;مطار انديرا غاندي الدولي
DEL;C;IN;http://geonames.org/1273294 ;0.324453394964;Delhi;Delhi;ar;دلهي
DFW;A;US;http://geonames.org/4684943 ;0.764886038338;Dallas/Fort Worth International Airport;Dallas/Fort Worth International Airport;ar;مطار دالاس فورت ورث الدولي
DFW;C;US;http://geonames.org/4684888 ;0.767769699497;Dallas;Dallas;ar;دالاس، تكساس
DIU;A;IN;http://geonames.org/7668568 ;0.00487979448617;Diu Airport;Diu Airport;ar;
DIU;C;IN;http://geonames.org/1272502 ;0.00487979448617;Diu;Diu;ar;
DKR;A;SN;http://geonames.org/2595702 ;0.0447731775808;Léopold Sédar Senghor International Airport;Leopold Sedar Senghor International Airport;ar;
DKR;C;SN;http://geonames.org/2253354 ;0.0447731775808;Dakar;Dakar;ar;داكار
