AEB	AEB	Youjiang Airport	Baise		CN	234312N	1065737E	0	A
AEE	AEE	Adareil Airport	Adareil		SS	100340N	0325800E	0	A
AEG	AEG	Aekgodang Airport	Padangsidempuan		ID	012359N	0992500E	1	A
AEH	AEH	Abeche Airport	Abeche		TD	135105N	0205103E	0	A
AEI	AEI	Algeciras Railway Station	Algeciras	SP	ES	360739N	0052714W	1	R
AEK	AEK	Aseki Airport	Aseki		PG	072200S	1461700E	1	A
AEL	AEL	Albert Lea Airport	Albert Lea	MN	US	433900N	0932200W	2	A
AEO	AEO	Aioun el Atrouss Airport	Aioun el Atrouss		MR	164233N	0093808W	0	A
AEP	BUE	Jorge Newbery Airport	Buenos Aires	BA	AR	343332S	0582457W	0	A
AER	AER	Sochi International	Sochi		RU	432700N	0395600E	2	A
AES	AES	Vigra Airport	Aalesund		NO	623345N	0060619E	0	A
AET	AET	Allakaket Airport	Allakaket	AK	US	663342N	1523930W	5	A
AEU	AEU	Abu Musa Island Airport	Abu Musa Island		IR	255315N	0550230E	0	A
AEX	AEX	Alexandria International Airport	Alexandria	LA	US	312000N	0923300W	2	A
AEY	AEY	Akureyri Airport	Akureyri		IS	653931N	0180420W	0	A
AFA	AFA	San Rafael Airport	San Rafael	MD	AR	343521S	0682402W	0	A
AFD	AFD	Port Alfred Airport	Port Alfred		ZA	333500S	0265300E	0	A
AFF	COS	USAF Academy Airfield	Colorado Springs	CO	US	385000N	1044200W	3	M
AFI	AFI	Amalfi Airport	Amalfi		CO	065500N	0750400W	0	A
AFK	ADP	Kondavattavan Tank SPB	Ampara		LK	071730N	0813807E	0	S
AFL	AFL	Oswaldo Marques Dias Airport	Alta Floresta	MT	BR	095221S	0560621W	2	A
AFN	AFN	Jaffrey Municipal Airport	Jaffrey	NH	US	425000N	0720400W	1	A
AFO	AFO	Afton Municipal Airport	Afton	WY	US	424400N	1105600W	3	A
AFR	AFR	Afore Airport	Afore		PG	090800S	1482300E	1	A
AFS	AFS	Zarafshan Airport	Zarafshan		UZ	413649N	0641359E	0	A
AFT	AFT	Afutara Aerodrome	Afutara		SB	091200S	1605100E	0	A
AFW	DFW	Fort Worth Alliance Airport	Dallas/Fort Worth	TX	US	325912N	0971900W	2	A
AFY	AFY	Afyon Airport	Afyon		TR	384400N	0303600E	0	A
AFZ	AFZ	Sabzevar Airport	Sabzevar		IR	361007N	0573547E	0	A
AGA	AGA	Al Massira Airport	Agadir		MA	301952N	0092434W	0	A
AGB	MUC	Augsburg Airport	Munich		DE	482531N	0105554E	0	A
