Three-Letter City Code	City Name	State/Pro.	Country Code	Time Zone Code	STV	Three-Letter Airport Code	Airport Name	Numeric Code	Location Type	Type Name	Aggregated Name
AKM	Zakouma		TD			AKM		0135	3	Airport	Zakouma Airport
AKN	King Salmon	AK	US	5		AKN		0136	3	Airport	King Salmon Airport
AKO	Akron	CO	US	3		AKO	Washington Co		3	Airport	Akron Washington Co Airport
AKP	Anaktuvuk	AK	US	5		AKP		0137	3	Airport	Anaktuvuk Airport
AKQ	Menggala		ID	1		AKQ	Astra Ksetra		3	Airport	Menggala Astra Ksetra Airport
AKR	Akure		NG			AKR			3	Airport	Akure Airport
AKS	Auki		SB			AKS	Gwaunaru'u	0139	3	Airport	Auki Gwaunaru'u Airport
AKT	Akrotiri		CY			AKT	RAF Station		3	Airport	Akrotiri RAF Station Airport
AKU	Aksu		CN			AKU		0140	3	Airport	Aksu Airport
AKV	Akulivik	QC	CA	3		AKV		0141	3	Airport	Akulivik Airport
AKW	Aghajari		IR			AKW			3	Airport	Aghajari Airport
AKX	Aktobe		KZ	1		AKX		0142	3	Airport	Aktobe Airport
AKY	Sittwe		MM			AKY		0143	3	Airport	Sittwe Airport
ALA	Almaty		KZ	2		ALA	International		3	Airport	Almaty International Airport
ALA	Almaty		KZ	2		BXJ	Borolday		3	Airport	Almaty Borolday Airport
ALB	Albany	NY	US	1		ALB	International	0145	3	Airport	Albany International Airport
ALB	Albany	NY	US	1		ZLY	Railway Station		5	Railway Station	Albany Railway Station
ALC	Alicante		ES	1		ALC	Airport	0146	3	Airport	Alicante Airport
ALC	Alicante		ES	1		YJE	Railway Station		5	Railway Station	Alicante Railway Station
ALD	Alerta		PE			ALD			3	Airport	Alerta Airport
ALE	Alpine	TX	US	2		ALE		0147	3	Airport	Alpine Airport
ALF	Alta		NO			ALF		0148	3	Airport	Alta Airport
ALG	Algiers		DZ			ALG	Houari Boumediene	0149	3	Airport	Algiers Houari Boumediene Airport
ALH	Albany	WA	AU	4		ALH		0150	3	Airport	Albany Airport
ALI	Alice	TX	US	2		ALI	International	0151	3	Airport	Alice International Airport
ALJ	Alexander Bay		ZA			ALJ		0152	3	Airport	Alexander Bay Airport
ALK	Asela		ET			ALK			3	Airport	Asela Airport
ALL	Albenga		IT			ALL		0153	3	Airport	Albenga Airport
ALM	Alamogordo	NM	US	3		ALM	Metropolitan Area		2	Metropolitan Area	Alamogordo Metropolitan Area
ALM	Alamogordo	NM	US	3		ALM	Municipal	0154	3	Airport	Alamogordo Municipal Airport
ALM	Alamogordo	NM	US	3		HMN	Holloman AFB		3	Airport	Alamogordo Holloman AFB Airport
ALN	Alton	IL	US	2		ALN		0155	3	Airport	Alton Airport
ALO	Waterloo	IA	US	2		ALO		0156	3	Airport	Waterloo Airport
ALP	Aleppo		SY			ALP	International	0157	3	Airport	Aleppo International Airport
ALQ	Alegrete	RS	BR	1		ALQ	Federal	0158	3	Airport	Alegrete Federal Airport
ALR	Alexandra		NZ	1		ALR		0159	3	Airport	Alexandra Airport
ALS	Alamosa	CO	US	3		ALS	Municipal	0160	3	Airport	Alamosa Municipal Airport
